video_id,video_name,file_name,gloss,phrase,num_words,variations,num_variations,video_length,resolution,frame_rate,duplicate
818,عقد,818_عقد.mp4,عقد,عقد,1,يعقدوا|عقدتا|عقدتما|عقودا|اعقد|عقدتان|تعقدون|عقده|تعقدا|عقدتين|تعقدين|نعقد|عقدين|عقدا|عقدت|تعقدوا|عقدي|عقود|يعقد|يعقدن|تعقدان|عقدتم|يعقدون|تعقدن|عقدتي|يعقدان|يعقدا|تعقدي|تعقد|عقدتن|عقدان|عقدنا|عقدوا|عقدن,34,,,,False
819,اليوم,819_اليوم.mp4,اليوم,اليوم,1,يومين|اياما|ايام|يوم|يوما|يومان|يومي,7,,,,False
820,فستان,820_فستان.mp4,فستان,فستان,1,انيت|ستانا|ستا|انينا|تانيان|ستي|انيتن|انيتما|انى|تانون|انين|يان|ستات|ستون|ستين|انتا|يانوا|تانيا|فستاني|تاني|ناني|فستانين|انوا|يانون|ستان|تانين|انيتم|يانيان|فستانا|ست|يانين|اناء|يانيا|انيا|ساتانا|تانوا|فستانان|ياني|فساتين|ساتان|انت|نان|تان,43,,,,True
821,فستان,821_فستان.mp4,فستان,فستان,1,انيت|ستانا|ستا|انينا|تانيان|ستي|انيتن|انيتما|انى|تانون|انين|يان|ستات|ستون|ستين|انتا|يانوا|تانيا|فستاني|تاني|ناني|فستانين|انوا|يانون|ستان|تانين|انيتم|يانيان|فستانا|ست|يانين|اناء|يانيا|انيا|ساتانا|تانوا|فستانان|ياني|فساتين|ساتان|انت|نان|تان,43,,,,True
822,صباحا,822_صباحا.mp4,صباحا,صباحا,1,صباح,1,,,,True
823,شبكة شعر,823_شبكة شعر.mp4,شبكة شعر,شبكة شعر,2,شبكه شعر,1,,,,False
824,الأربعاء,824_الأربعاء.mp4,الأربعاء,الأربعاء,1,اربعاء|الاربعاء,2,,,,False
825,قفاز,825_قفاز.mp4,قفاز,قفاز,1,قفازان|قفازين|قفازي|قفازا|قفافيز|قفازات,6,,,,False
826,أمس,826_أمس.mp4,أمس,أمس,1,يمسن|تمس|تمسسن|تمسي|يمسين|نمس|امسي|تمسون|مسين|مسا|تمسا|ومستا|ومستن|مسيتن|مسيا|مسستن|تمسيا|تمسيان|امسان|ومستما|امسين|مسوا|نمسي|مسسن|نمسى|يمسسن|تمسان|مسسنا|تمسوا|مسيتما|يمسيا|مس|مست|ومسنا|ومستم|مسى|مسيت|يمسون|مسيتم|امسا|امس|يمس|يمسى|يمسس|ومسن|تمسى|يمسان|تمسس|مسستما|ومست|ومسا|مسستم|تمسن|يمسا|مستا|ومس|يمسوا|يمسيان|ومسوا|امسى|مسست|مسينا|يمسي|تمسين,64,,,,False
827,كحل,827_كحل.mp4,كحل,كحل,1,حلول|يكحلا|تكحلي|حلان|تحلوا|يكحلان|اكحل|يكحل|كحلوا|كحلان|تحلان|يحلان|حللتن|يكحلون|كحلي|يحلوا|تكحلا|كحلتن|تكحلون|كحلين|حللت|حلتا|تحلي|حللتم|كحله|احل|نحل|يحلا|يكحلوا|تحلل|حلوا|حلولا|تحلا|حللن|تحلين|يحل|تكحلوا|تكحل|كحلت|يحلل|حلي|كحلن|كحلتما|حلت|تحللن|حللنا|تكحلن|حلين|كحلتان|كحلا|حلا|حل|كحلنا|كحلتي|حللتما|تكحلان|اكحال|يحللن|تكحلين|كحلتم|تحل|كحلتين|كحلتا|يكحلن|تحلون|يحلون|نكحل|اكحالا,68,,,,False
828,عيـن خت,828_عيـن خت.mp4,عيـن خت,عيـن خت,2,,0,,,,False
829,رموش صناعية,829_رموش صناعية.mp4,رموش صناعية,رموش صناعية,2,رموش صناعيه,1,,,,False
830,نظارة طبية,830_نظارة طبية.mp4,نظارة طبية,نظارة طبية,2,نظاره طبيه,1,,,,True
831,فندق قصـر الإمارات,831_فندق قصـر الإمارات.mp4,فندق قصـر الإمارات,فندق قصـر الإمارات,3,فندق قصـر الامارات,1,,,,True
832,نظارة طبية,832_نظارة طبية.mp4,نظارة طبية,نظارة طبية,2,نظاره طبيه,1,,,,True
833,فندق قصـر الإمارات,833_فندق قصـر الإمارات.mp4,فندق قصـر الإمارات,فندق قصـر الإمارات,3,فندق قصـر الامارات,1,,,,True
834,كـواشي,834_كـواشي.mp4,كـواشي,كـواشي,1,واشيتين|واشيين|وشاه|واشيا|واشيتا|واشيات|واشي|واشيه|واشيتي|واشيان|واشيتان|واش|واشيي,13,,,,False
835,القرية العالمية,835_القرية العالمية.mp4,القرية العالمية,القرية العالمية,2,القريه العالميه,1,,,,False
836,باروكة,836_باروكة.mp4,باروكة,باروكة,1,باروكه,1,,,,False
837,منتـزة الشـارقة,837_منتـزة الشـارقة.mp4,منتـزة الشـارقة,منتـزة الشـارقة,2,منتـزه الشـارقه,1,,,,False
838,نقاب,838_نقاب.mp4,نقاب,نقاب,1,نقب|انقبه|نقبا|نقابا,4,,,,True
839,مبزرة الخضراء,839_مبزرة الخضراء.mp4,مبزرة الخضراء,مبزرة الخضراء,2,مبزره الخضراء,1,,,,False
840,زي رسمي,840_زي رسمي.mp4,زي رسمي,زي رسمي,2,,0,,,,False
841,مسجـد الشيخ زايد,841_مسجـد الشيخ زايد.mp4,مسجـد الشيخ زايد,مسجـد الشيخ زايد,3,,0,,,,False
842,سـروال,842_سـروال.mp4,سـروال,سـروال,1,سروال|سرويلا|سراويل|سروالا|سراويلات|سرويل,6,,,,False
843,شـيله _ وقايـه,843_شـيله _ وقايـه.mp4,شـيله,شـيله,1,وقايـه|شيلتا|شيلات|شيلتي|شيلتان|شيلتين|شيله,7,,,,True
844,مسجـد البـدية,844_مسجـد البـدية.mp4,مسجـد البـدية,مسجـد البـدية,2,مسجـد البـديه,1,,,,False
845,كـاسر الأمواج,845_كـاسر الأمواج.mp4,كـاسر الأمواج,كـاسر الأمواج,2,كـاسر الامواج,1,,,,False
846,غترة,846_غترة.mp4,غترة,غترة,1,غتره,1,,,,False
